id;designation;first_name;last_name;email;phone_number
1;OWNER;Adrianna;Wuckert;Lenore.McKenzie@yahoo.com;55481
2;OWNER;Jonathon;Kirlin;Talia62@hotmail.com;52360
3;DISPATCHER;Jerad;Runte;Annabell98@gmail.com;62080
4;OWNER;Dayana;Hayes;Kaitlyn.Christiansen@gmail.com;58476
5;OWNER;Lucinda;Davis;Maurine_Heathcote@gmail.com;87431
6;OWNER;Claudine;Fadel;Reina.Dach@gmail.com;34761
7;OWNER;Blaze;Lesch;Flavio.DuBuque12@yahoo.com;50341
8;MANAGER;Audrey;Schmeler;Lizzie51@yahoo.com;87357
9;MANAGER;Abdiel;Gorczany;Rachel_Bogan18@hotmail.com;98625
10;DISPATCHER;Jazlyn;Feest;Noel.Hilll@yahoo.com;72051
