id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Aurelia;Renner;Carli86@hotmail.com;Ball Qatari Rial parsing;2019-09-30T07:48:09;37429;68324
2;Ahmad;Kunze;Lia_Simonis57@gmail.com;Music Data East Caribbean Dollar;2019-09-30T14:14:12;60060;21567
3;Triston;Okuneva;Glenna_Orn@hotmail.com;world-class;2019-10-01T02:39:00;99941;60495
4;Alysson;Halvorson;Sammy_Jakubowski75@hotmail.com;Awesome optimal Refined;2019-09-30T14:51:39;40414;76519
5;Erik;Walsh;Hyman_Schoen87@hotmail.com;help-desk SAS embrace;2019-09-30T23:20:53;54448;64907
6;Abraham;Hansen;Loma.Hickle@gmail.com;Iceland Krona deliver;2019-09-30T19:42:16;59648;23754
7;Karli;Hilpert;Danika58@yahoo.com;Chicken payment;2019-09-30T12:14:56;46349;50044
8;Gennaro;Littel;Van.Leannon91@hotmail.com;cross-platform;2019-10-01T03:51:32;38019;14899
9;Grayce;Leffler;Delaney_Lemke@yahoo.com;generate 1080p;2019-09-30T13:14:17;71549;95552
10;Jovani;Auer;Cletus89@hotmail.com;Unbranded Frozen Bike invoice;2019-09-30T21:21:04;6026;19715
